127.0.0.1 - - [29/Dec/2018:23:20:50 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:48 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:48 +0900] "GET /resources/img/logo/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:48 +0900] "GET /resources/img/weather/icon/cloud.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:48 +0900] "GET /resources/img/weather/icon/vec.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:48 +0900] "GET /resources/img/weather/icon/pop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:48 +0900] "GET /resources/img/weather/Weather.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:48 +0900] "GET /resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:48 +0900] "GET /resources/js/home.js HTTP/1.1" 200 14534
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:48 +0900] "GET /resources/img/bus/Bus-logo.svg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:23:51 +0900] "GET /resources/img/error/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:26:45 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:26:45 +0900] "GET /resources/js/home.js HTTP/1.1" 200 14590
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:26:50 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:26:50 +0900] "GET /resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:27:11 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:27:11 +0900] "GET /resources/js/home.js HTTP/1.1" 200 14592
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:08 +0900] "GET /relationKeyword?keyword=d HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:08 +0900] "GET /relationKeyword?keyword=%E3%85%87 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:09 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%9C HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:09 +0900] "GET /relationKeyword?keyword=%EC%9A%B0 HTTP/1.1" 200 221242
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:09 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%9C HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:09 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1 HTTP/1.1" 200 30292
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:09 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%E3%85%85 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:09 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%82%AC HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:09 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81 HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:09 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81%E3%84%B1 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:09 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81%EA%B0%80 HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:12 +0900] "GET /busdetail?arsId=15296&tmx=126.8341060451&tmy=37.5215334526 HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:12 +0900] "GET /resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:13 +0900] "GET /resources/img/bus/right.png HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:13 +0900] "GET /resources/img/bus/newWebPage.png HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:41:21 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:44:50 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:44:50 +0900] "GET /resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:23:44:52 +0900] "GET / HTTP/1.1" 200 7733
