127.0.0.1 - - [08/Aug/2019:21:18:45 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:44 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:45 +0900] "GET /resources/img/logo/Logo.png HTTP/1.1" 200 11259
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:45 +0900] "GET /resources/css/home.css HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:45 +0900] "GET /resources/img/weather/Weather.png HTTP/1.1" 200 12751
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:45 +0900] "GET /resources/img/weather/icon/cloud.png HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:45 +0900] "GET /resources/img/weather/icon/vec.png HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:45 +0900] "GET /resources/js/home.js HTTP/1.1" 200 14807
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:45 +0900] "GET /resources/img/weather/icon/pop.png HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:45 +0900] "GET /resources/img/bus/Bus-logo.svg.png HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:19:45 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:20:01 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:24:13 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:00 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:08 +0900] "GET /getWeatherData?tmx=58&tmy=125&base_date=20190808&base_time=2000&_=1565267221003 HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:08 +0900] "GET /resources/img/weather/icon/NB04.png HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:30 +0900] "GET /relationKeyword?keyword=%E3%85%87 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:30 +0900] "GET /relationKeyword?keyword=%EC%9B%8C HTTP/1.1" 200 20898
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:30 +0900] "GET /relationKeyword?keyword=%EC%9B%9F HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:30 +0900] "GET /relationKeyword?keyword=%EC%9B%8C%EC%84%9C HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:30 +0900] "GET /relationKeyword?keyword=%EC%9B%8C HTTP/1.1" 200 20898
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:30 +0900] "GET /relationKeyword?keyword=%EC%9B%8C%E3%85%85 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:30 +0900] "GET /relationKeyword?keyword=%EC%9B%8C HTTP/1.1" 200 20898
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:31 +0900] "GET /relationKeyword?keyword=%EC%9B%8C HTTP/1.1" 200 20898
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:31 +0900] "GET /relationKeyword?keyword=%E3%85%87 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:31 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%9C HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:31 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%9C HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:31 +0900] "GET /relationKeyword?keyword=%EC%9A%B0 HTTP/1.1" 200 228112
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:31 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%82%AC HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:32 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1 HTTP/1.1" 200 31384
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:32 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%9C HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:32 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%82%AC HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:32 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81 HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:32 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81%E3%84%B1 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:32 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%82%AC HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:32 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81%EA%B0%80 HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:35 +0900] "GET /busdetail?arsId=15296&tmx=126.8341060451&tmy=37.5215334526 HTTP/1.1" 200 5611
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:36 +0900] "GET /resources/img/bus/newWebPage.png HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:36 +0900] "GET /resources/img/bus/right.png HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:36 +0900] "GET /getWeatherData?tmx=58&tmy=125&base_date=20190808&base_time=2000&_=1565267255676 HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:43 +0900] "GET /busdetail?arsId=15296&tmx=126.8341060451&tmy=37.5215334526 HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:44 +0900] "GET /getWeatherData?tmx=58&tmy=125&base_date=20190808&base_time=2000&_=1565267264024 HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:49 +0900] "GET /getWeatherData?tmx=58&tmy=125&base_date=20190808&base_time=2000&_=1565267269199 HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:51 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81 HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:52 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1 HTTP/1.1" 200 31384
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:52 +0900] "GET /relationKeyword?keyword=%EC%9A%B0 HTTP/1.1" 200 228112
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:56 +0900] "GET /relationKeyword?keyword=%E3%85%85 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:56 +0900] "GET /relationKeyword?keyword=%EC%84%B1%E3%84%B4 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:56 +0900] "GET /relationKeyword?keyword=%EC%84%B1 HTTP/1.1" 200 431769
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:56 +0900] "GET /relationKeyword?keyword=%EC%84%B1%EB%82%98 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:56 +0900] "GET /relationKeyword?keyword=%EC%84%B1%EB%82%A8 HTTP/1.1" 200 15077
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:56 +0900] "GET /relationKeyword?keyword=%EC%84%B1 HTTP/1.1" 200 431769
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:57 +0900] "GET /relationKeyword?keyword=%EC%84%B1 HTTP/1.1" 200 431769
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:58 +0900] "GET /relationKeyword?keyword=%EC%84%B1%EB%82%98 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:58 +0900] "GET /relationKeyword?keyword=%EC%84%B1%E3%84%B4 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:58 +0900] "GET /relationKeyword?keyword=%EC%84%B1 HTTP/1.1" 200 431769
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:59 +0900] "GET /relationKeyword?keyword=%E3%85%85 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:59 +0900] "GET /relationKeyword?keyword=%EC%84%9D HTTP/1.1" 200 67223
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:59 +0900] "GET /relationKeyword?keyword=%EC%84%9C HTTP/1.1" 200 394048
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:59 +0900] "GET /relationKeyword?keyword=%EC%84%9D%E3%84%B4 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:59 +0900] "GET /relationKeyword?keyword=%EC%84%9D%EB%82%98 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:27:59 +0900] "GET /relationKeyword?keyword=%EC%84%9D%EB%82%A8 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:28:02 +0900] "GET /relationKeyword?keyword=%EC%84%9D%EB%82%98 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [08/Aug/2019:21:28:02 +0900] "GET /relationKeyword?keyword=%EC%84%9D%E3%84%B4 HTTP/1.1" 200 724
