127.0.0.1 - - [10/Oct/2019:12:28:13 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:20 +0900] "GET /main HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:42 +0900] "GET /home HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:45 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:45 +0900] "GET /resources/img/weather/icon/vec.png HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:45 +0900] "GET /resources/img/weather/Weather.png HTTP/1.1" 200 12751
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:45 +0900] "GET /resources/img/weather/icon/pop.png HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:45 +0900] "GET /resources/img/logo/Logo.png HTTP/1.1" 200 11259
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:45 +0900] "GET /resources/js/home.js HTTP/1.1" 200 14807
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:45 +0900] "GET /resources/css/home.css HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:45 +0900] "GET /resources/img/weather/icon/cloud.png HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:45 +0900] "GET /resources/img/bus/Bus-logo.svg.png HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:53 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20191010&base_time=1100&_=1570678185732 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:29:53 +0900] "GET /resources/img/weather/icon/NB04.png HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:30:36 +0900] "GET /locationBusStop?tmx=126.83578220000001&tmy=37.5256578 HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:30:37 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20191010&base_time=1100&_=1570678236904 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:30:38 +0900] "GET /locationBusStopAajx?tmx=126.83578220000001&tmy=37.5256578 HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:30:48 +0900] "GET /locationBusStop?tmx=126.83578220000001&tmy=37.5256578 HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:30:49 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20191010&base_time=1100&_=1570678248813 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:30:49 +0900] "GET /locationBusStopAajx?tmx=126.83578220000001&tmy=37.5256578 HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [10/Oct/2019:12:32:30 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20191010&base_time=1100&_=1570678350114 HTTP/1.1" 200 1380
